datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-06-01 06:00:00,71.2,45.0,16.91,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 06:15:00,75.4,45.0,17.9075,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 06:30:00,65.6,45.0,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 06:45:00,59.1,45.0,-14.775,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 07:00:00,67.8,45.0,0.0,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 07:15:00,61.1,45.0,-15.275,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 07:30:00,72.8,45.0,17.29,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 07:45:00,70.3,45.0,16.69625,46.5215799890351,True,,,1.0,2.9075987493146935
2024-06-01 08:00:00,73.8,84.4,17.5275,46.5215799890351,False,1.0,0.2375,1.0,17.5275
2024-06-01 08:15:00,71.2,84.4,16.91,46.5215799890351,False,1.0,0.2375,0.75,16.91
2024-06-01 08:30:00,70.22,84.4,7.504762500000016,46.5215799890351,False,1.0,0.2375,0.5,16.677249999999997
2024-06-01 08:45:00,60.06,84.4,-15.015,46.5215799890351,False,-1.0,-0.25,0.25,-15.015
2024-06-01 09:00:00,78.3,84.4,18.596249999999998,46.5215799890351,False,1.0,0.2375,0.4875,18.596249999999998
2024-06-01 09:15:00,67.64,84.4,0.0,46.5215799890351,False,0.95,0.225625,0.2375,15.261275
2024-06-01 09:30:00,61.19,84.4,0.0,46.5215799890351,False,0.0,0.0,0.0,0.0
2024-06-01 09:45:00,50.03,84.4,-12.5075,46.5215799890351,False,-1.0,-0.25,0.0,-12.5075
2024-06-01 10:00:00,62.0,84.4,13.98875,46.5215799890351,False,0.95,0.225625,0.2375,13.98875
2024-06-01 10:15:00,55.09,84.4,0.0,46.5215799890351,False,0.0,0.0,0.0,0.0
2024-06-01 10:30:00,45.08,84.4,-0.593157894736843,46.5215799890351,False,-0.0526315789473685,-0.013157894736842125,0.0,-0.593157894736843
2024-06-01 10:45:00,37.54,84.4,-9.385,46.5215799890351,False,-1.0,-0.25,0.0125,-9.385
2024-06-01 11:00:00,79.9,84.4,18.97625,46.5215799890351,False,1.0,0.2375,0.25,18.97625
2024-06-01 11:15:00,42.08,84.4,0.0,46.5215799890351,False,0.0,0.0,0.0,0.0
2024-06-01 11:30:00,38.91,84.4,-0.511973684210527,46.5215799890351,False,-0.0526315789473685,-0.013157894736842125,0.0,-0.511973684210527
2024-06-01 11:45:00,15.07,84.4,-3.7675,46.5215799890351,False,-1.0,-0.25,0.0125,-3.7675
2024-06-01 12:00:00,49.41,110.96,11.734874999999999,46.5215799890351,False,1.0,0.2375,0.25,11.734874999999999
2024-06-01 12:15:00,30.08,110.96,0.0,46.5215799890351,False,0.0,0.0,0.0,0.0
2024-06-01 12:30:00,17.59,110.96,-0.23144736842105298,46.5215799890351,False,-0.0526315789473685,-0.013157894736842125,0.0,-0.23144736842105298
2024-06-01 12:45:00,5.05,110.96,-1.2625,46.5215799890351,False,-1.0,-0.25,0.0125,-1.2625
2024-06-01 13:00:00,33.8,110.96,8.027499999999998,46.5215799890351,False,1.0,0.2375,0.25,8.027499999999998
2024-06-01 13:15:00,14.6,110.96,0.0,46.5215799890351,False,0.0,0.0,0.0,0.0
2024-06-01 13:30:00,-4.21,110.96,1.0525,46.5215799890351,False,-1.0,-0.25,0.0,1.0525
2024-06-01 13:45:00,2.6,110.96,-0.65,46.5215799890351,False,-1.0,-0.25,0.2375,-0.65
2024-06-01 14:00:00,8.39,110.96,-2.0975,46.5215799890351,False,-1.0,-0.25,0.475,-2.0975
